id,department,question,expected_behavior,expected_answer,model_answer,retrieved_document,retrieved_section,correct,retrieval_accuracy,answer_relevance,groundedness,faithfulness,out_of_scope_detection,multi_hop_success,latency_ms,confidence,all_sources,notes
Q001,HR,How long does my probation usually last as a new permanent employee?,IN_SCOPE,"A new permanent employee usually serves a probationary period of up to three months, with check-ins at 30, 60, and 90 days.",Three (3) months.,NEXUS_HR_POLICY_MANUAL.md,3.3 Probationary period,correct,1.0,0.3383125436461293,0.8,0.3383125436461293,0.0,0.0,1109,0.342,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.3 Probationary period"", ""relevance_score"": 0.6157}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""IT Questions"", ""relevance_score"": 0.2347}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.1747}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.1233}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""Nexus Technologies \u2014 Company FAQ"", ""relevance_score"": 0.076}]",
Q002,HR,Can you help me with how long does my probation usually last as a new permanent employee?,IN_SCOPE,"A new permanent employee usually serves a probationary period of up to three months, with check-ins at 30, 60, and 90 days.",New permanent employees serve a probationary period of up to three (3) months.,NEXUS_HR_POLICY_MANUAL.md,3.3 Probationary period,correct,1.0,0.9022156546684652,0.8,0.9022156546684652,0.0,0.0,1147,0.364,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.3 Probationary period"", ""relevance_score"": 0.629}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""IT Questions"", ""relevance_score"": 0.263}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.1988}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.1873}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""Nexus Technologies \u2014 Company FAQ"", ""relevance_score"": 0.1125}]",
Q003,HR,What should I do if how long does my probation usually last as a new permanent employee?,IN_SCOPE,"A new permanent employee usually serves a probationary period of up to three months, with check-ins at 30, 60, and 90 days.",I cannot answer that from the Nexus company policy knowledge base.,NEXUS_HR_POLICY_MANUAL.md,3.3 Probationary period,incorrect,1.0,0.19397278418047786,0.8,0.19397278418047786,0.0,0.0,1188,0.288,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.3 Probationary period"", ""relevance_score"": 0.5622}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""IT Questions"", ""relevance_score"": 0.1808}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.1203}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.1112}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""Nexus Technologies \u2014 Company FAQ"", ""relevance_score"": 0.0131}]",
Q004,HR,Where do I submit a routine leave request for work?,IN_SCOPE,Routine leave requests should be submitted in Workday and approved by the reporting manager.,Workday**,NEXUS_HR_POLICY_MANUAL.md,5.3 Requesting leave,correct,1.0,0.3004985703040158,0.8,0.3004985703040158,0.0,0.0,915,0.341,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.3 Requesting leave"", ""relevance_score"": 0.4946}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.3128}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""IT Questions"", ""relevance_score"": 0.2163}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""17.4 Final pay and benefits"", ""relevance_score"": 0.1622}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.4 Remote and location considerations"", ""relevance_score"": 0.1415}]",
Q005,HR,Can you help me with where do i submit a routine leave request for work?,IN_SCOPE,Routine leave requests should be submitted in Workday and approved by the reporting manager.,Workday**,NEXUS_HR_POLICY_MANUAL.md,5.3 Requesting leave,correct,1.0,0.3004985703040158,0.8,0.3004985703040158,0.0,0.0,759,0.355,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.3 Requesting leave"", ""relevance_score"": 0.4866}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.3378}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""IT Questions"", ""relevance_score"": 0.2416}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""17.4 Final pay and benefits"", ""relevance_score"": 0.1651}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""3.1 By working time"", ""relevance_score"": 0.1468}]",
Q006,HR,What should I do if where do i submit a routine leave request for work?,IN_SCOPE,Routine leave requests should be submitted in Workday and approved by the reporting manager.,Workday**,NEXUS_HR_POLICY_MANUAL.md,5.3 Requesting leave,correct,1.0,0.3004985703040158,0.8,0.3004985703040158,0.0,0.0,775,0.309,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.3 Requesting leave"", ""relevance_score"": 0.473}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.2885}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""IT Questions"", ""relevance_score"": 0.1642}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""17.4 Final pay and benefits"", ""relevance_score"": 0.1237}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.4 Remote and location considerations"", ""relevance_score"": 0.1103}]",
Q007,HR,How many paid sick days does Nexus provide as a baseline?,IN_SCOPE,"Nexus provides up to 10 paid sick days per year as a company baseline, separate from annual leave.",6.3 Working while unwell / remote sick days,NEXUS_HR_POLICY_MANUAL.md,"4.4 Rest, breaks, and disconnection",correct,1.0,0.3617140841210185,0.8,0.3617140841210185,0.0,0.0,1090,0.43,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""4.4 Rest, breaks, and disconnection"", ""relevance_score"": 0.4621}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""6.2 Notification and documentation"", ""relevance_score"": 0.4291}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.4 Remote and location considerations"", ""relevance_score"": 0.3992}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""IT Questions"", ""relevance_score"": 0.3895}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""6.3 Working while unwell / remote sick days"", ""relevance_score"": 0.3792}]",
Q008,HR,Can you help me with how many paid sick days does nexus provide as a baseline?,IN_SCOPE,"Nexus provides up to 10 paid sick days per year as a company baseline, separate from annual leave.",6.3 Working while unwell / remote sick days,NEXUS_HR_POLICY_MANUAL.md,"4.4 Rest, breaks, and disconnection",correct,1.0,0.3617140841210185,0.8,0.3617140841210185,0.0,0.0,1116,0.439,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""4.4 Rest, breaks, and disconnection"", ""relevance_score"": 0.4676}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""6.2 Notification and documentation"", ""relevance_score"": 0.4387}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""Nexus Technologies \u2014 Company FAQ"", ""relevance_score"": 0.4103}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.4 Remote and location considerations"", ""relevance_score"": 0.4095}, {""source"": ""COMPANY_FAQ.md"", ""department"": ""shared"", ""section"": ""IT Questions"", ""relevance_score"": 0.407}]",
Q009,HR,What should I do if how many paid sick days does nexus provide as a baseline?,IN_SCOPE,"Nexus provides up to 10 paid sick days per year as a company baseline, separate from annual leave.",I cannot answer that from the Nexus company policy knowledge base.,NEXUS_HR_POLICY_MANUAL.md,6.2 Notification and documentation,correct,1.0,0.550215570265853,0.8,0.550215570265853,0.0,0.0,1054,0.432,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""6.2 Notification and documentation"", ""relevance_score"": 0.4744}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""4.4 Rest, breaks, and disconnection"", ""relevance_score"": 0.4448}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""6.3 Working while unwell / remote sick days"", ""relevance_score"": 0.3769}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": null, ""relevance_score"": 0.3407}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.4 Remote and location considerations"", ""relevance_score"": 0.3406}]",
Q010,HR,Can I carry unused vacation days into the next year?,IN_SCOPE,"Employees may carry over up to five unused days, and those carried-over days must be used by 31 March or they lapse unless local law requires otherwise.","Up to 5 days, and they must be used by 31 March or they lapse — unless your Regional Addendum grants more (5.2).",NEXUS_HR_POLICY_MANUAL.md,18. Frequently Asked Questions (FAQ),correct,1.0,0.6619312189277904,0.8,0.6619312189277904,0.0,0.0,1544,0.256,"[{""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""18. Frequently Asked Questions (FAQ)"", ""relevance_score"": 0.2882}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""7.3 Related provisions"", ""relevance_score"": 0.2523}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""5.2 Accrual, carryover, and payout"", ""relevance_score"": 0.2283}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""8.1 Working on a public holiday"", ""relevance_score"": 0.2166}, {""source"": ""NEXUS_HR_POLICY_MANUAL.md"", ""department"": ""hr"", ""section"": ""8.3 Floating / flexible holidays"", ""relevance_score"": 0.1599}]",
