id,department,difficulty,question,expected_behavior
Q001,HR,Easy,How long does my probation usually last as a new permanent employee?,IN_SCOPE
Q002,HR,Easy,Can you help me with how long does my probation usually last as a new permanent employee?,IN_SCOPE
Q003,HR,Easy,What should I do if how long does my probation usually last as a new permanent employee?,IN_SCOPE
Q004,HR,Easy,Where do I submit a routine leave request for work?,IN_SCOPE
Q005,HR,Easy,Can you help me with where do i submit a routine leave request for work?,IN_SCOPE
Q006,HR,Easy,What should I do if where do i submit a routine leave request for work?,IN_SCOPE
Q007,HR,Easy,How many paid sick days does Nexus provide as a baseline?,IN_SCOPE
Q008,HR,Easy,Can you help me with how many paid sick days does nexus provide as a baseline?,IN_SCOPE
Q009,HR,Easy,What should I do if how many paid sick days does nexus provide as a baseline?,IN_SCOPE
Q010,HR,Medium,Can I carry unused vacation days into the next year?,IN_SCOPE
Q011,HR,Medium,Can you help me with can i carry unused vacation days into the next year?,IN_SCOPE
Q012,HR,Medium,What should I do if can i carry unused vacation days into the next year?,IN_SCOPE
Q013,HR,Medium,What should I do before I take extended leave if I am the DRI for an active project?,IN_SCOPE
Q014,HR,Medium,Can you help me with what should i do before i take extended leave if i am the dri for an active project?,IN_SCOPE
Q015,HR,Medium,What should I do if what should i do before i take extended leave if i am the dri for an active project?,IN_SCOPE
Q016,HR,Medium,Will my part-time schedule reduce my leave entitlement?,IN_SCOPE
Q017,HR,Medium,Can you help me with will my part-time schedule reduce my leave entitlement?,IN_SCOPE
Q018,HR,Medium,What should I do if will my part-time schedule reduce my leave entitlement?,IN_SCOPE
Q019,HR,Medium,What is the company baseline for primary caregivers taking parental leave?,IN_SCOPE
Q020,HR,Medium,Can you help me with what is the company baseline for primary caregivers taking parental leave?,IN_SCOPE
Q021,HR,Medium,What should I do if what is the company baseline for primary caregivers taking parental leave?,IN_SCOPE
Q022,HR,Medium,How are promotions evaluated at Nexus?,IN_SCOPE
Q023,HR,Medium,Can you help me with how are promotions evaluated at nexus?,IN_SCOPE
Q024,HR,Medium,What should I do if how are promotions evaluated at nexus?,IN_SCOPE
Q025,HR,Hard,I am leaving the company next month. What happens to my remaining leave balance and the equipment I was issued?,IN_SCOPE
Q026,HR,Hard,Can you help me with i am leaving the company next month. what happens to my remaining leave balance and the equipment i was issued?,IN_SCOPE
Q027,HR,Hard,What should I do if i am leaving the company next month. what happens to my remaining leave balance and the equipment i was issued?,IN_SCOPE
Q028,HR,Hard,My performance is slipping and I am worried about my review. What should happen next?,IN_SCOPE
Q029,HR,Hard,Can you help me with my performance is slipping and i am worried about my review. what should happen next?,IN_SCOPE
Q030,HR,Hard,What should I do if my performance is slipping and i am worried about my review. what should happen next?,IN_SCOPE
Q031,HR,Easy,What is the weather like in Austin today?,OUT_OF_SCOPE
Q032,HR,Easy,Can you draft a birthday invitation for my team?,OUT_OF_SCOPE
Q033,IT,Easy,Do I need to use a minimum password length for my Nexus account?,IN_SCOPE
Q034,IT,Easy,Can you help me with do i need to use a minimum password length for my nexus account?,IN_SCOPE
Q035,IT,Easy,What should I do if do i need to use a minimum password length for my nexus account?,IN_SCOPE
Q036,IT,Easy,Where should I store my credentials securely?,IN_SCOPE
Q037,IT,Easy,Can you help me with where should i store my credentials securely?,IN_SCOPE
Q038,IT,Easy,What should I do if where should i store my credentials securely?,IN_SCOPE
Q039,IT,Easy,Is MFA mandatory for my Nexus accounts?,IN_SCOPE
Q040,IT,Easy,Can you help me with is mfa mandatory for my nexus accounts?,IN_SCOPE
Q041,IT,Easy,What should I do if is mfa mandatory for my nexus accounts?,IN_SCOPE
Q042,IT,Medium,Do I need to connect to VPN when I work from home?,IN_SCOPE
Q043,IT,Medium,Can you help me with do i need to connect to vpn when i work from home?,IN_SCOPE
Q044,IT,Medium,What should I do if do i need to connect to vpn when i work from home?,IN_SCOPE
Q045,IT,Medium,Can I install software on my company laptop without approval?,IN_SCOPE
Q046,IT,Medium,Can you help me with can i install software on my company laptop without approval?,IN_SCOPE
Q047,IT,Medium,What should I do if can i install software on my company laptop without approval?,IN_SCOPE
Q048,IT,Medium,Which AI tools can I use for work?,IN_SCOPE
Q049,IT,Medium,Can you help me with which ai tools can i use for work?,IN_SCOPE
Q050,IT,Medium,What should I do if which ai tools can i use for work?,IN_SCOPE
Q051,IT,Medium,What is the approved channel for official external email?,IN_SCOPE
Q052,IT,Medium,Can you help me with what is the approved channel for official external email?,IN_SCOPE
Q053,IT,Medium,What should I do if what is the approved channel for official external email?,IN_SCOPE
Q054,IT,Medium,Where should official company data be stored?,IN_SCOPE
Q055,IT,Medium,Can you help me with where should official company data be stored?,IN_SCOPE
Q056,IT,Medium,What should I do if where should official company data be stored?,IN_SCOPE
Q057,IT,Hard,I am traveling and need to access internal systems from a hotel network. What should I do before I log in?,IN_SCOPE
Q058,IT,Hard,Can you help me with i am traveling and need to access internal systems from a hotel network. what should i do before i log in?,IN_SCOPE
Q059,IT,Hard,What should I do if i am traveling and need to access internal systems from a hotel network. what should i do before i log in?,IN_SCOPE
Q060,IT,Hard,I found an unfamiliar USB drive in the office. What should I do with it?,IN_SCOPE
Q061,IT,Hard,Can you help me with i found an unfamiliar usb drive in the office. what should i do with it?,IN_SCOPE
Q062,IT,Hard,What should I do if i found an unfamiliar usb drive in the office. what should i do with it?,IN_SCOPE
Q063,IT,Easy,Can you debug my Python script for me?,OUT_OF_SCOPE
Q064,Security,Easy,"If a document has no explicit label, what classification should I assume?",IN_SCOPE
Q065,Security,Easy,"Can you help me with if a document has no explicit label, what classification should i assume?",IN_SCOPE
Q066,Security,Easy,"What should I do if if a document has no explicit label, what classification should i assume?",IN_SCOPE
Q067,Security,Easy,What is the minimum classification for customer data?,IN_SCOPE
Q068,Security,Easy,Can you help me with what is the minimum classification for customer data?,IN_SCOPE
Q069,Security,Easy,What should I do if what is the minimum classification for customer data?,IN_SCOPE
Q070,Security,Medium,Can I discuss confidential information in a public café?,IN_SCOPE
Q071,Security,Medium,Can you help me with can i discuss confidential information in a public café?,IN_SCOPE
Q072,Security,Medium,What should I do if can i discuss confidential information in a public café?,IN_SCOPE
Q073,Security,Medium,How should access be granted to systems and data?,IN_SCOPE
Q074,Security,Medium,Can you help me with how should access be granted to systems and data?,IN_SCOPE
Q075,Security,Medium,What should I do if how should access be granted to systems and data?,IN_SCOPE
Q076,Security,Medium,I clicked a link that looked suspicious. What should I do immediately?,IN_SCOPE
