id,expected_answer,source_document,section,expected_behavior
Q001,"A new permanent employee usually serves a probationary period of up to three months, with check-ins at 30, 60, and 90 days.",data/hr/NEXUS_HR_POLICY_MANUAL.md,3.3 Probationary period,IN_SCOPE
Q002,"A new permanent employee usually serves a probationary period of up to three months, with check-ins at 30, 60, and 90 days.",data/hr/NEXUS_HR_POLICY_MANUAL.md,3.3 Probationary period,IN_SCOPE
Q003,"A new permanent employee usually serves a probationary period of up to three months, with check-ins at 30, 60, and 90 days.",data/hr/NEXUS_HR_POLICY_MANUAL.md,3.3 Probationary period,IN_SCOPE
Q004,Routine leave requests should be submitted in Workday and approved by the reporting manager.,data/hr/NEXUS_HR_POLICY_MANUAL.md,5.3 Requesting leave,IN_SCOPE
Q005,Routine leave requests should be submitted in Workday and approved by the reporting manager.,data/hr/NEXUS_HR_POLICY_MANUAL.md,5.3 Requesting leave,IN_SCOPE
Q006,Routine leave requests should be submitted in Workday and approved by the reporting manager.,data/hr/NEXUS_HR_POLICY_MANUAL.md,5.3 Requesting leave,IN_SCOPE
Q007,"Nexus provides up to 10 paid sick days per year as a company baseline, separate from annual leave.",data/hr/NEXUS_HR_POLICY_MANUAL.md,6.1 Entitlement,IN_SCOPE
Q008,"Nexus provides up to 10 paid sick days per year as a company baseline, separate from annual leave.",data/hr/NEXUS_HR_POLICY_MANUAL.md,6.1 Entitlement,IN_SCOPE
Q009,"Nexus provides up to 10 paid sick days per year as a company baseline, separate from annual leave.",data/hr/NEXUS_HR_POLICY_MANUAL.md,6.1 Entitlement,IN_SCOPE
Q010,"Employees may carry over up to five unused days, and those carried-over days must be used by 31 March or they lapse unless local law requires otherwise.",data/hr/NEXUS_HR_POLICY_MANUAL.md,"5.2 Accrual, carryover, and payout",IN_SCOPE
Q011,"Employees may carry over up to five unused days, and those carried-over days must be used by 31 March or they lapse unless local law requires otherwise.",data/hr/NEXUS_HR_POLICY_MANUAL.md,"5.2 Accrual, carryover, and payout",IN_SCOPE
